spot,ville,region,url
Cap Gris Nez,Audinghen,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/cap-gris-nez-s1108.html
No spot name,Berck/mer,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/berck-mer-s1113.html
No spot name,Boulogne/mer,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/boulogne-mer-s1110.html
Calais,Coquelles,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/calais-s1106.html
Ste Cécile Plage,Dannes,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/sainte-cecile-plage-s1118.html
No spot name,Dunkerque,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/dunkerque-s1105.html
No spot name,Hardelot Plage,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/hardelot-plage-s1111.html
La Pointe Aux Oies,Wimereux,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/la-pointe-aux-oies-s1117.html
No spot name,Wimereux,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/wimereux-s1109.html
No spot name,Wissant,Nord,https://www.surf-report.com/meteo-surf/meteo-surf/wissant-s1107.html
No spot name,Agon Coutainville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/agon-coutainville-s1133.html
No spot name,Ault,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/ault-s1119.html
No spot name,Cabourg,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/cabourg-s1128.html
Antifer,Cap D'antifer,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/antifer-s994.html
No spot name,Carolles,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/carolles-s1134.html
No spot name,Cayeux/mer,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/cayeux-mer-s1115.html
No spot name,Deauville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/deauville-s1127.html
No spot name,Dieppe,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/dieppe-s1018.html
No spot name,Etretat,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/etretat-s1022.html
Fécamp,Fecamp,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/fecamp-s1122.html
Diélette,Flamanville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/dielette-s1130.html
Fort Mahon,Fort Mahon Plage,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/fort-mahon-s1114.html
No spot name,Le Havre,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/le-havre-s1126.html
No spot name,Le Rozel,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/le-rozel-s1131.html
Le Touquet,Le Touquet Paris Plage,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/le-touquet-s1112.html
Hatainville,Les Moitiers D'allonne,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/hatainville-s1132.html
No spot name,Pourville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/pourville-s1104.html
Les Petites Dalles,St Martin Aux Buneaux,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/les-petites-dalles-s1120.html
Les Grandes Dalles,St Pierre En Port,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/les-grandes-dalles-s1121.html
No spot name,Ste Adresse,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/sainte-adresse-s1125.html
Les Dunes De Biville,Siouville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/les-dunes-biville-s102815.html
No spot name,Siouville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/siouville-s1079.html
Vauville,Siouville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/vauville-s102814.html
Collignon Le Becquet,Tourlaville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/collignon-becquet-s1129.html
No spot name,Trouville,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/trouville-s1086.html
Veulettes,Veulettes/mer,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/veulettes-s1089.html
Vaucottes,Yport,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/vaucottes-s1124.html
No spot name,Yport,Manche,https://www.surf-report.com/meteo-surf/meteo-surf/yport-s1123.html
No spot name,Audierne,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/audierne-s1153.html
La Gamelle,Audierne,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/la-gamelle-audierne-s1154.html
No spot name,Brest,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/brest-s1002.html
Anse De Pen-hat,Camaret/mer,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/anse-pen-hat-s1145.html
Crozon,Camaret/mer,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/crozon-s1016.html
Pointe De Dinan,Camaret/mer,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/pointe-dinan-s1146.html
Poez Théolen,Cleden Cap Sizun,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/poez-theolen-cleden-cap-sizun-s1150.html
Le Kérou,Clohars Carnoet,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/le-kerou-clohars-carnoet-s1160.html
Cap De La Chèvre,Crozon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/cap-chevre-s1147.html
La Palue,Crozon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/la-palue-s1038.html
No spot name,Dinard,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/dinard-s1019.html
